,title,id,downloadUrl,DateRun
13,Lead_Scoring_03282022.csv,1BM67wBfe2sUBM3vGXuqpHN0LPThA0vcq,https://www.googleapis.com/drive/v2/files/1BM67wBfe2sUBM3vGXuqpHN0LPThA0vcq?alt=media&source=downloadUrl,2022-03-28
12,Lead_Scoring_04042022.csv,1-L3djekEFzA4vC2wnCLe8AIReRQgqRT7,https://www.googleapis.com/drive/v2/files/1-L3djekEFzA4vC2wnCLe8AIReRQgqRT7?alt=media&source=downloadUrl,2022-04-04
11,Lead_Scoring_04112022.csv,1CNFf9CgIe5bhDgdspV64lm6LwigszmBk,https://www.googleapis.com/drive/v2/files/1CNFf9CgIe5bhDgdspV64lm6LwigszmBk?alt=media&source=downloadUrl,2022-04-11
10,Lead_Scoring_05092022.csv,1Zv1dcK2uygMm1JrLNI9RYXCoEZW-cEjP,https://www.googleapis.com/drive/v2/files/1Zv1dcK2uygMm1JrLNI9RYXCoEZW-cEjP?alt=media&source=downloadUrl,2022-05-09
9,Lead_Scoring_05162022.csv,1gK9JWmGOqcEJQVAOTHF3gCZqNF5fQI4p,https://www.googleapis.com/drive/v2/files/1gK9JWmGOqcEJQVAOTHF3gCZqNF5fQI4p?alt=media&source=downloadUrl,2022-05-16
8,Lead_Scoring_05232022.csv,1zsRLAm1UR__qjFpev9_bC-YaVhSRdM5e,https://www.googleapis.com/drive/v2/files/1zsRLAm1UR__qjFpev9_bC-YaVhSRdM5e?alt=media&source=downloadUrl,2022-05-23
7,Lead_Scoring_06062022.csv,1ezHw8oSBpC3hCPLz_bby7kmM7P5IV8qw,https://www.googleapis.com/drive/v2/files/1ezHw8oSBpC3hCPLz_bby7kmM7P5IV8qw?alt=media&source=downloadUrl,2022-06-06
6,Lead_Scoring_06132022.csv,1eI0s7B9NJ9Pf8OExD5mnYHST4oyVPRhN,https://www.googleapis.com/drive/v2/files/1eI0s7B9NJ9Pf8OExD5mnYHST4oyVPRhN?alt=media&source=downloadUrl,2022-06-13
5,Lead_Scoring_06272022.csv,1L9LEhglNzQ1c8Lo5QZN4SYSyT0cMpesM,https://www.googleapis.com/drive/v2/files/1L9LEhglNzQ1c8Lo5QZN4SYSyT0cMpesM?alt=media&source=downloadUrl,2022-06-27
4,Lead_Scoring_07112022.csv,10XJv8zV535XgNFhaLNstV0B7B3VkYjnW,https://www.googleapis.com/drive/v2/files/10XJv8zV535XgNFhaLNstV0B7B3VkYjnW?alt=media&source=downloadUrl,2022-07-11
3,Lead_Scoring_07182022.csv,18Pn19OXLDIPeugltH7iomjE_0E1iNtGE,https://www.googleapis.com/drive/v2/files/18Pn19OXLDIPeugltH7iomjE_0E1iNtGE?alt=media&source=downloadUrl,2022-07-18
2,Lead_Scoring_07252022.csv,1ltoXD17e__Ds7-LSveCeFF5v1kmP3XcQ,https://www.googleapis.com/drive/v2/files/1ltoXD17e__Ds7-LSveCeFF5v1kmP3XcQ?alt=media&source=downloadUrl,2022-07-25
1,Lead_Scoring_08012022.csv,1UuNZY_ozKDhPTpAU717tC3xeV6KCfmFL,https://www.googleapis.com/drive/v2/files/1UuNZY_ozKDhPTpAU717tC3xeV6KCfmFL?alt=media&source=downloadUrl,2022-08-01
